TICKER|COMPANY|TRADES|LAST_PRICE|PRICE_CHANGE
LOGN3|Log-In|5000|28.00|+0.00
CRPG5|Tronox Pigmentos|5000|8.85|-1.01
BSLI4|Banco de Brasília|4900|2.58|-0.77
JFEN3|João Fortes|4400|0.43|-4.44
RSUL4|Metalúrgica Riosulense|4200|37.96|-1.25
DEXP4|Dexxos|4100|7.50|+0.13
NEXP3|Brasil Brokers|4100|2.33|+0.00
FHER3|Fertilizantes Heringer|3800|3.08|+0.98
BEES4|Banestes|3500|9.03|-0.11
CLSC4|Celesc|3400|157.37|-0.06
BIED3|Bioma|3400|5.40|-6.41
BAZA3|Banco da Amazônia|2900|68.31|-1.70
OFSA3|Ourofino Saúde Animal|2900|27.48|+0.00
ENGI3|Energisa|2900|12.14|-1.78
HAGA3|Haga|2800|2.67|+2.30
COCE5|Coelce|2600|30.90|-1.12
PINE3|Banco Pine|2600|10.74|-1.29
TOKY3|Toky|2600|10.70|-0.47
CGRA3|Grazziotin|2500|22.81|-4.00
ALUP3|Alupar|2500|11.75|+0.86
ESTR4|Estrela|2400|1.47|+17.60
INEP4|Inepar|2400|1.40|+3.70
CEBR6|CEB|2300|27.70|-1.04
WHRL4|Whirlpool|2000|3.75|+0.27
LUXM4|Trevisa|1900|2.68|-1.47
HOOT4|Hotéis Othon|1700|8.60|+3.61
IGTI4|Jereissati Participações|1500|11.55|-3.67
IGTI4|Iguatemi|1500|11.55|-3.67
INEP3|Inepar|1500|1.43|-0.69
ISAE3|ISA Energia|1400|33.16|+0.76
BPAC5|Banco BTG Pactual|1400|20.45|-1.59
VIVR3|Viver|1400|1.50|-1.32
CGAS5|Comgás|1300|120.80|-0.37
NUTR3|Nutriplant|1200|2.20|+0.00
WLMM4|WLM|1100|15.50|-0.58
CTAX3|Contax|1100|1.64|+3.80
WHRL3|Whirlpool|900|3.63|+2.25
EUCA3|Eucatex|800|20.90|-0.57
MNDL3|Mundial|800|19.10|+0.53
EQMA3B|Equatorial Maranhão|700|28.99|-0.85
FESA3|Ferbasa|700|9.83|+0.31
NORD3|Nordon|700|1.44|+4.35
AVLL3|Alphaville|600|6.37|-2.00
REDE3|Rede Energia|600|5.57|+0.54
PLAS3|Plascar|600|2.60|+0.00
BRSR5|Banrisul|500|17.50|-2.78
MTSA4|Metisa|400|46.99|+0.53
EMAE4|EMAE|400|34.99|+0.00
DOHL4|Döhler|400|3.69|+0.54
BMEB3|Banco Mercantil do Brasil|300|51.74|-0.44
CEEB3|COELBA|300|46.40|-2.01
OSXB3|OSX Brasil|300|1.05|-14.63
PEAB4|Participações Aliança da Bahia|200|38.52|-0.90
ENMT3|Energisa MT|200|36.74|+2.91
BGIP4|Banese|200|33.90|-0.29
BMIN4|Banco Mercantil de Investimentos|200|20.00|-4.76
BALM4|Baumer|200|15.00|+1.35
EALT3|Electro Aço Altona|200|12.49|-0.08
TELB4|Telebras|200|8.08|-0.12
UNIP5|Unipar|100|57.57|-0.23
ENMT4|Energisa MT|100|36.20|+2.72
TELB3|Telebras|100|16.90|-5.38
EALT4|Electro Aço Altona|100|11.40|+2.33
AFLT3|Afluente T|100|7.29|-1.35
BRKM6|Braskem|100|7.00|+0.00
CEDO4|Cedro Têxtil|100|5.16|+0.78
BDLL3|Bardella|100|5.01|+11.33
BMKS3|Monark|28|372.01|-1.32
RVEE3|REVEE|1600|0.74|+7.25
RVEE3|REVEE SA|1600|0.74|+7.25
BDLL4|Bardella|1300|3.25|+0.00
